scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ln,bytes_ue,bytes_lj,bytes_ln,bytes_total,msgs_ue,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,
g2_rain_fade,RAIN_FADE,14,,300,2,72,ok,,,1,58.989625,2017,5,10.794,0.124,10.649,10.636583,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,73,ok,,,1,60.742375,2009,5,12.896,0.111,11.512,11.527333,886,706,417,2009,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,74,ok,,,1,56.574083,2017,5,10.469,0.105,11.602,11.616833,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,75,ok,,,1,58.305417,2017,5,10.827,0.096,10.767,10.739709,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,76,ok,,,1,56.346541,2017,5,10.909,0.122,11.746,11.763167,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,77,ok,,,1,55.064708,2015,5,10.509,0.105,10.787,10.771708,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,78,ok,,,1,58.105333,2012,5,11.162,0.092,11.488,11.516708,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,79,ok,,,1,57.312875,2012,5,10.748,0.117,11.263,11.248125,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,80,ok,,,1,54.676458,2010,5,11.704,0.169,10.481,10.451666,886,707,417,2010,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,81,ok,,,1,55.812541,2014,5,10.586,0.145,11.409,11.411833,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,82,ok,,,1,57.437625,2015,5,10.559,0.127,11.628,11.607541,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,83,ok,,,1,58.575584,2012,5,11.012,0.126,11.458,11.39825,886,708,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,84,ok,,,1,59.168708,2014,5,10.641,0.103,11.151,11.153917,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,85,ok,,,1,61.037,2017,5,10.276,0.101,10.389,10.370709,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,86,ok,,,1,48.704708,2012,5,10.396,0.119,11.299,11.29675,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,87,ok,,,1,56.195291,2010,5,11.331,0.102,11.149,11.159708,886,707,417,2010,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,88,ok,,,1,57.375333,2014,5,10.536,0.12,12.099,12.227167,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,89,ok,,,1,55.744625,2017,5,11.866,0.096,10.751,10.728583,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,90,ok,,,1,54.754709,1996,5,11.147,0.125,10.975,10.977,872,707,417,1996,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,91,ok,,,1,55.722209,2005,5,10.557,0.106,10.694,10.661083,883,706,416,2005,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,92,ok,,,1,54.81325,2011,5,10.871,0.113,11.284,11.271334,886,708,417,2011,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,93,ok,,,1,61.583041,2014,5,11.609,0.117,11.06,11.02670901,887,708,419,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,94,ok,,,1,59.505834,2016,5,10.377,0.103,10.526,10.497875,888,709,419,2016,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,95,ok,,,1,56.06333401,2015,5,10.94,0.082,11.197,11.20350001,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,96,ok,,,1,49.52691701,2014,5,10.411,0.133,10.672,10.65666699,887,708,419,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,97,ok,,,1,54.988833,2015,5,10.641,0.106,11.021,11.018416,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,98,ok,,,1,54.103167,2015,5,10.416,0.106,10.738,10.69333401,887,709,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,99,ok,,,1,53.176666,2015,5,10.759,0.12,10.979,10.97991699,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
