mode,scenario,run_index,timeout_ms,pto,status,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,processing_ms_leo2,bytes_ue,bytes_leo2,msgs_ue,msgs_leo2,rtt_ms,jitter_ms,loss_pct,rate_mbps
LEO_ONLY,z1_online_only,7,200,2,ok,45.8432920000007,1021.0,1,3.6449999999999996,13.475999999999885,13.44724999999869,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,8,200,2,ok,47.33366699999664,1020.0,1,3.5400000000000027,13.533999999999878,13.504999999994993,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,9,200,2,ok,44.09166599999992,1020.0,1,3.75,13.590999999999894,13.561125000002505,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,10,200,2,ok,47.06091599999951,1021.0,1,3.668999999999997,13.44999999999959,13.421332999996594,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,11,200,2,ok,44.213832999993485,1020.0,1,3.6799999999999926,13.427999999999884,13.397832999999082,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,12,200,2,ok,45.50245900000505,1020.0,1,3.730000000000004,13.442999999999984,13.412999999999897,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,13,200,2,ok,45.10395800000566,1020.0,1,3.596,13.500999999999749,13.437791999997728,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,14,200,2,ok,43.54175000000282,1021.0,1,3.4279999999999973,12.934999999999945,12.914708000003827,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,15,200,2,ok,45.930416999993895,1020.0,1,3.696000000000005,13.690999999999804,13.666166000000146,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,16,200,2,ok,45.409375000005525,1021.0,1,3.8200000000000003,13.719000000000051,13.684624999996231,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,17,200,2,ok,42.917500000001496,1021.0,1,3.6739999999999924,13.524000000000115,13.500000000000512,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,18,200,2,ok,45.78937500000535,1020.0,1,3.5499999999999936,13.355000000000246,13.327957999997864,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,19,200,2,ok,44.76166700000306,1021.0,1,3.588000000000001,13.329000000000178,13.307417000000044,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,20,200,2,ok,46.302957999998284,1020.0,1,3.393000000000008,13.125999999999976,13.101165999998443,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,1,400,2,ok,47.2122079999977,1021.0,1,3.959000000000003,14.251999999999953,14.237999999998863,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,2,400,2,ok,47.475583000000654,1020.0,1,3.663999999999998,13.474999999999909,13.454207999998857,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,3,400,2,ok,46.991999999995926,1021.0,1,3.608999999999998,13.242999999999938,13.214125000004628,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,4,400,2,ok,45.11899999999969,1020.0,1,3.448000000000004,13.044000000000324,13.019833000001313,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,5,400,2,ok,46.055207999998515,1020.0,1,3.482000000000003,13.09900000000016,13.076790999996035,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,6,400,2,ok,48.60045800000279,1021.0,1,3.5670000000000037,13.07400000000007,13.053290999998524,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,7,400,2,ok,45.64674999999596,1021.0,1,3.6159999999999926,13.51900000000046,13.492458999998291,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,8,400,2,ok,42.10079100000286,1019.0,1,3.4270000000000067,13.335999999999785,13.311166000001151,1019.0,1019.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,9,400,2,ok,44.110332999999,1020.0,1,3.572999999999997,13.35400000000027,13.33620799999835,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,10,400,2,ok,44.11883399999539,1021.0,1,3.560000000000006,13.045999999999367,13.019791999994368,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,11,400,2,ok,46.173832999997444,1020.0,1,3.6759999999999984,13.747000000000298,13.722207999997238,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,12,400,2,ok,47.59845899999959,1021.0,1,3.5180000000000007,13.195000000000164,13.166124999997919,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,13,400,2,ok,43.28220800000082,1021.0,1,3.622,13.641000000000531,13.617082999999752,1021.0,1021.0,1,1,24,2,0.0,
