scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,cpu_ms_ground,cpu_ms_ncc,processing_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,combo_index,,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,69,ok,,0,1,85.489875,208,6,0.492,0.036,0.036,0.036,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.072,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,70,ok,,0,1,82.655084,208,6,0.434,0.036,0.039,0.039,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.078,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,71,ok,,0,1,83.855542,208,6,0.586,0.075,0.057,0.057,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,6,0,0,0,,,,,,0,0,0.114,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,72,ok,,0,1,76.210792,208,6,0.779,0.082,0.062,0.062,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.124,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,73,ok,,0,1,78.7855,208,6,0.572,0.126,0.064,0.064,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.128,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,74,ok,,0,1,86.559583,208,6,0.517,0.042,0.034,0.034,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.068,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,75,ok,,0,1,82.646625,208,6,0.623,0.085,0.154,0.154,0,1.76303E+12,1.76303E+12,light→light,0.64,,,4,4,1,0,0,,,,,,0,0,0.308,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,76,ok,,0,1,74.3255,208,6,0.795,0.071,0.063,0.063,0,1.76303E+12,1.76303E+12,light→light,0.64,,,1,3,0.333333333,0,0,,,,,,0,0,0.126,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,77,ok,,0,1,79.100333,208,6,0.441,0.037,0.043,0.043,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.086,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,78,ok,,0,1,79.225917,208,6,0.459,0.061,0.068,0.068,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.136,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,79,ok,,0,1,77.928625,208,6,0.611,0.083,0.063,0.063,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.126,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,80,ok,,0,1,85.201834,208,6,0.525,0.042,0.044,0.044,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.088,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,81,ok,,0,1,89.117167,208,6,0.501,0.071,0.061,0.061,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.122,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,82,ok,,0,1,76.4505,208,6,0.79,0.071,0.068,0.068,0,1.76303E+12,1.76303E+12,light→light,0.64,,,1,3,0.333333333,0,0,,,,,,0,0,0.136,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,83,ok,,0,1,80.194209,208,6,0.51,0.036,0.042,0.042,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.084,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,84,ok,,0,1,103.976834,208,6,0.856,0.079,0.049,0.049,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.098,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,85,ok,,0,1,86.25875,208,6,0.613,0.043,0.08,0.08,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.16,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,86,ok,,0,1,78.67625,208,6,0.632,0.084,0.066,0.066,0,1.76303E+12,1.76303E+12,light→light,0.64,,,2,3,0.666666667,0,0,,,,,,0,0,0.132,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,87,ok,,0,1,91.025,208,6,0.424,0.038,0.042,0.042,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.084,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,88,ok,,0,1,82.948791,208,6,0.624,0.048,0.058,0.058,0,1.76303E+12,1.76303E+12,light→light,0.64,,,4,4,1,0,0,,,,,,0,0,0.116,,,,,,,,,,,
