scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ground,bytes_lj,bytes_ln,bytes_total,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,bytes_ue
g1_online_only,LEO_ONLY,12,0.1,200,2,11,ok,,0,2,53.026333000161685,1483.0,4,9.889,0.035000000000081855,10.105000000000018,10.102791999088367,708.0,418.0,1483.0,2,1,4,1761206605997,1761206606023,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,12,ok,,0,2,50.2877510007238,1479.0,4,9.776000000000007,0.035000000000081855,9.841999999999985,9.840250000706874,707.0,416.0,1479.0,2,1,4,1761206606295,1761206606317,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,200,2,13,ok,,0,2,55.876333000924205,1480.0,4,9.935999999999996,0.035999999999830834,9.84699999999998,9.845165997830918,708.0,416.0,1480.0,2,1,4,1761206606589,1761206606617,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,200,2,14,ok,,0,2,56.147084000258474,1481.0,4,9.611999999999998,0.037000000000261934,9.905000000000086,9.904750000714557,708.0,416.0,1481.0,2,1,4,1761206606891,1761206606919,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,15,ok,,0,2,53.63783299981151,1483.0,4,9.824000000000002,0.03700000000003456,9.962999999999965,9.962457999790786,709.0,417.0,1483.0,2,1,4,1761206607193,1761206607218,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,16,ok,,0,2,48.37879200204043,1482.0,4,9.832999999999998,0.03600000000005821,9.769000000000005,9.76745800289791,709.0,416.0,1482.0,2,1,4,1761206607487,1761206607511,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,17,ok,,0,2,50.707458998658694,1481.0,4,9.807999999999996,0.035000000000081855,9.781000000000063,9.778291001566686,708.0,417.0,1481.0,2,1,4,1761206607780,1761206607806,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,200,2,18,ok,,0,2,50.46470800152747,1482.0,4,9.925999999999998,0.0329999999996744,9.755999999999972,9.75645899961819,709.0,416.0,1482.0,2,1,4,1761206608065,1761206608089,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,19,ok,,0,2,51.78408400024637,1479.0,4,9.440999999999999,0.0350000000005366,9.889999999999986,9.887875999993412,707.0,415.0,1479.0,2,1,4,1761206608372,1761206608398,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,20,ok,,0,2,50.26416599866934,1483.0,4,9.484000000000009,0.04300000000034743,10.055000000000064,10.052334000647534,708.0,418.0,1483.0,2,1,4,1761206608673,1761206608697,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,400,2,1,ok,,0,2,55.25645799934864,1481.0,4,9.936000000000003,0.037000000000261934,9.798999999999978,9.796292000828544,708.0,417.0,1481.0,2,1,4,1761206609689,1761206609716,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,400,2,2,ok,,0,2,56.82141699799104,1484.0,4,10.069999999999993,0.03300000000012915,10.029999999999973,10.02774999869871,709.0,418.0,1484.0,2,1,4,1761206609976,1761206610003,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,400,2,3,ok,,0,2,50.183084000309464,1477.0,4,9.830000000000005,0.038000000000010914,9.77699999999993,9.77466699987417,707.0,414.0,1477.0,2,1,4,1761206610306,1761206610329,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,400,2,4,ok,,0,2,52.93349999919883,1481.0,4,9.841000000000005,0.03600000000005821,9.953000000000088,9.950374998879852,708.0,417.0,1481.0,2,1,4,1761206610588,1761206610616,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,400,2,5,ok,,0,2,52.04345799938892,1478.0,4,9.786000000000005,0.03300000000035652,9.956000000000131,9.95366599818226,707.0,416.0,1478.0,2,1,4,1761206610873,1761206610896,,,,,,,,,,,,,,,,355.0
g1_online_only,LEO_ONLY,12,0.1,400,2,6,ok,,0,2,57.850709003105294,1483.0,4,10.048000000000005,0.03600000000005821,9.920999999999935,9.921374999976251,709.0,417.0,1483.0,2,1,4,1761206611159,1761206611188,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,400,2,7,ok,,0,2,53.25379200075986,1482.0,4,9.854999999999997,0.035000000000763976,9.850000000000023,9.84812499882537,709.0,416.0,1482.0,2,1,4,1761206611476,1761206611501,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,400,2,8,ok,,0,2,51.9272909987194,1483.0,4,9.788999999999998,0.03699999999980719,9.851000000000113,9.849375001067529,709.0,417.0,1483.0,2,1,4,1761206611778,1761206611800,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,400,2,9,ok,,0,2,55.031541000062134,1483.0,4,10.026999999999997,0.033999999999650754,10.032000000000039,10.028874999989057,708.0,418.0,1483.0,2,1,4,1761206612077,1761206612103,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,400,2,10,ok,,0,2,54.59195799994632,1483.0,4,9.709999999999997,0.04000000000041837,9.962000000000103,9.973125001124572,709.0,417.0,1483.0,2,1,4,1761206612359,1761206612382,,,,,,,,,,,,,,,,357.0
